# x	y	u	v	flags	mask
2.1757e-01	3.5226e+00	-6.2220e-02	-2.7081e+00	0.0000e+00	0.0000e+00
4.8695e-01	3.5226e+00	-3.1587e-01	-2.9800e+00	0.0000e+00	0.0000e+00
7.5632e-01	3.5226e+00	-2.1923e-01	-3.1759e+00	0.0000e+00	0.0000e+00
1.0257e+00	3.5226e+00	-9.9285e-02	-3.1628e+00	0.0000e+00	0.0000e+00
1.2951e+00	3.5226e+00	-1.2977e-01	-3.1123e+00	0.0000e+00	0.0000e+00
1.5644e+00	3.5226e+00	1.3353e-01	-2.9734e+00	0.0000e+00	0.0000e+00
1.8338e+00	3.5226e+00	2.2845e-01	-3.0094e+00	0.0000e+00	0.0000e+00
2.1032e+00	3.5226e+00	3.5769e-01	-3.0725e+00	0.0000e+00	0.0000e+00
2.3726e+00	3.5226e+00	5.5819e-01	-3.0472e+00	0.0000e+00	0.0000e+00
2.6419e+00	3.5226e+00	-5.3552e-02	-2.5293e+00	0.0000e+00	0.0000e+00
2.9113e+00	3.5226e+00	-1.7987e-02	-3.0461e+00	0.0000e+00	0.0000e+00
3.1807e+00	3.5226e+00	-3.8236e-02	-3.1567e+00	0.0000e+00	0.0000e+00
3.4501e+00	3.5226e+00	-1.7278e-01	-2.8147e+00	1.0000e+00	0.0000e+00
3.7194e+00	3.5226e+00	-1.7710e-01	-2.9562e+00	0.0000e+00	0.0000e+00
3.9888e+00	3.5226e+00	-1.1064e-02	-2.9971e+00	0.0000e+00	0.0000e+00
4.2582e+00	3.5226e+00	-1.7586e-01	-2.9432e+00	0.0000e+00	0.0000e+00
4.5276e+00	3.5226e+00	-7.1757e-02	-2.6691e+00	0.0000e+00	0.0000e+00
4.7969e+00	3.5226e+00	6.3371e-02	-3.1262e+00	0.0000e+00	0.0000e+00
5.0663e+00	3.5226e+00	-7.9857e-01	-2.5729e+00	0.0000e+00	0.0000e+00
2.1757e-01	3.2532e+00	-2.3244e-01	-2.7492e+00	0.0000e+00	0.0000e+00
4.8695e-01	3.2532e+00	-4.5745e-02	-2.9243e+00	1.0000e+00	0.0000e+00
7.5632e-01	3.2532e+00	-4.7261e-02	-3.2017e+00	0.0000e+00	0.0000e+00
1.0257e+00	3.2532e+00	4.4484e-02	-3.1671e+00	0.0000e+00	0.0000e+00
1.2951e+00	3.2532e+00	2.3598e-01	-3.0996e+00	0.0000e+00	0.0000e+00
1.5644e+00	3.2532e+00	1.6022e-01	-2.9705e+00	0.0000e+00	0.0000e+00
1.8338e+00	3.2532e+00	2.5443e-01	-3.0537e+00	0.0000e+00	0.0000e+00
2.1032e+00	3.2532e+00	2.6123e-01	-3.2759e+00	0.0000e+00	0.0000e+00
2.3726e+00	3.2532e+00	1.6732e-02	-2.9278e+00	0.0000e+00	0.0000e+00
2.6419e+00	3.2532e+00	-1.4671e-01	-2.4940e+00	0.0000e+00	0.0000e+00
2.9113e+00	3.2532e+00	-3.3456e-01	-2.5633e+00	0.0000e+00	0.0000e+00
3.1807e+00	3.2532e+00	-1.0705e-01	-2.7191e+00	0.0000e+00	0.0000e+00
3.4501e+00	3.2532e+00	1.8015e-02	-2.8561e+00	0.0000e+00	0.0000e+00
3.7194e+00	3.2532e+00	2.5014e-02	-3.1408e+00	0.0000e+00	0.0000e+00
3.9888e+00	3.2532e+00	-1.3151e-01	-2.9732e+00	0.0000e+00	0.0000e+00
4.2582e+00	3.2532e+00	-1.7612e-01	-2.8354e+00	0.0000e+00	0.0000e+00
4.5276e+00	3.2532e+00	-1.8395e-01	-2.6965e+00	0.0000e+00	0.0000e+00
4.7969e+00	3.2532e+00	-2.0004e-01	-2.8811e+00	1.0000e+00	0.0000e+00
5.0663e+00	3.2532e+00	-1.9227e-01	-3.5400e+00	0.0000e+00	0.0000e+00
2.1757e-01	2.9838e+00	-2.3559e-01	-2.6137e+00	0.0000e+00	0.0000e+00
4.8695e-01	2.9838e+00	-5.2686e-01	-3.0298e+00	0.0000e+00	0.0000e+00
7.5632e-01	2.9838e+00	-5.7998e-01	-3.1743e+00	0.0000e+00	0.0000e+00
1.0257e+00	2.9838e+00	-2.1765e-02	-3.0804e+00	0.0000e+00	0.0000e+00
1.2951e+00	2.9838e+00	9.0964e-02	-3.0397e+00	0.0000e+00	0.0000e+00
1.5644e+00	2.9838e+00	4.5130e-01	-2.7045e+00	0.0000e+00	0.0000e+00
1.8338e+00	2.9838e+00	2.9043e-01	-2.5906e+00	0.0000e+00	0.0000e+00
2.1032e+00	2.9838e+00	-3.5190e-01	-3.0738e+00	0.0000e+00	0.0000e+00
2.3726e+00	2.9838e+00	-1.3250e-01	-2.7732e+00	0.0000e+00	0.0000e+00
2.6419e+00	2.9838e+00	-2.1009e-01	-2.5898e+00	0.0000e+00	0.0000e+00
2.9113e+00	2.9838e+00	-3.0881e-01	-2.5700e+00	0.0000e+00	0.0000e+00
3.1807e+00	2.9838e+00	-2.6537e-01	-2.6647e+00	0.0000e+00	0.0000e+00
3.4501e+00	2.9838e+00	-1.5881e-01	-2.7595e+00	0.0000e+00	0.0000e+00
3.7194e+00	2.9838e+00	-6.2462e-02	-2.9978e+00	0.0000e+00	0.0000e+00
3.9888e+00	2.9838e+00	-1.8618e-01	-2.8105e+00	1.0000e+00	0.0000e+00
4.2582e+00	2.9838e+00	-4.1593e-01	-2.9268e+00	0.0000e+00	0.0000e+00
4.5276e+00	2.9838e+00	-1.9481e-01	-2.6961e+00	0.0000e+00	0.0000e+00
4.7969e+00	2.9838e+00	-4.7133e-01	-3.2198e+00	0.0000e+00	0.0000e+00
5.0663e+00	2.9838e+00	-1.5429e-03	-3.3403e+00	0.0000e+00	0.0000e+00
2.1757e-01	2.7145e+00	-1.0707e-01	-2.8667e+00	1.0000e+00	0.0000e+00
4.8695e-01	2.7145e+00	-3.9874e-03	-2.6656e+00	0.0000e+00	0.0000e+00
7.5632e-01	2.7145e+00	3.7508e-02	-2.7248e+00	0.0000e+00	0.0000e+00
1.0257e+00	2.7145e+00	2.1568e-01	-2.6261e+00	0.0000e+00	0.0000e+00
1.2951e+00	2.7145e+00	3.4311e-01	-2.6609e+00	0.0000e+00	0.0000e+00
